file,auth_keyword
201800002.json,Circulating fluidized bed
201800002.json,Computational fluid dynamics
201800002.json,Multiphase flow models
201800002.json,Riser
201800002.json,Sorption enhanced steam methane reforming
201800003.json,Encapsulation
201800003.json,Fluoroalkylsilane
201800003.json,Natural rubber
201800003.json,Oil/water separation superhydrophobic/superoleophilic mesh
201800004.json,acpcPNA
201800004.json,Electrochemical impedance spectroscopy
201800004.json,Mycobacterium tuberculosis
201800004.json,Paper-based electrochemical DNA biosensor
201800005.json,Design of experiment
201800005.json,Optimal fleet size
201800005.json,Outsourcing
201800005.json,Simulation modelling
201800005.json,Transportation contract
201800005.json,Transportation management
201800005.json,Variation
201800006.json,Female
201800006.json,Hyperammonemia
201800006.json,Novel mutations
201800006.json,Ornithine transcarbamylase deficiency
201800006.json,OTC
201800008.json,Attention mechanism
201800008.json,Bi-directional GRU
201800008.json,criminal law
201800008.json,Deep Learning
201800008.json,predicting judgement
201800008.json,Thai Supreme Court
201800010.json,Anodization
201800010.json,Ti–Zr alloy
201800010.json,Wear resistance
201800011.json,Classification
201800011.json,Data preparation
201800011.json,Disease
201800011.json,ICD-10-CM
201800011.json,Symptom
201800011.json,Text mining
201800012.json,AISAS model
201800012.json,Feature selection
201800012.json,SMOTE
201800013.json,galaxies: evolution
201800013.json,galaxies: formation
201800013.json,galaxies: general
201800015.json,Apocynaceae
201800015.json,Asclepiadoideae
201800015.json,Eastern thailand
201800015.json,Open sandy area
201800017.json,2D materials
201800017.json,graphitic carbon nitride
201800017.json,heterostructured composites
201800017.json,hydrogen evolution
201800017.json,photocatalysis
201800018.json,Biodiesel
201800018.json,Cavitation reactor
201800018.json,Homogenizer reactor
201800018.json,Ultrasonic reactor
201800018.json,Yield efficiency
201800019.json,ASEAN
201800019.json,GMM
201800019.json,Growth
201800019.json,Profitability
201800019.json,Size
201800032.json,Advanced glycation end-products
201800032.json,Boesenbergia rotunda
201800032.json,Diabetes
201800032.json,Methylglyoxal
201800032.json,Pinocembrin
201800032.json,Structure-activity relationship
201800032.json,α-glucosidase
201800034.json,fuel cell
201800034.json,molecular dynamics simulations
201800034.json,proton conductivity
201800034.json,sulfonated poly(ether ether ketone) membrane
201800035.json,LCVA
201800035.json,Natural frequency
201800035.json,Panel method
201800035.json,Quasi-elliptic flow path estimation method
201800035.json,TLCD
201800037.json,Antifungal
201800037.json,Bacillus
201800037.json,Catalase
201800037.json,Chili
201800037.json,Colletotrichum
201800037.json,Tomato
201800038.json,Ansible
201800038.json,Association rules
201800038.json,Data mining
201800038.json,GitHub
201800038.json,Pull Request
201800039.json,Classifiers technique
201800039.json,Intrusion Detection System
201800039.json,Machine Learning
201800039.json,NSL-KDD
