type,classification_description
CPXCLASS,AC Generators
CPXCLASS,AC Motors
GEOCLASS,AGRICULTURE
CABSCLASS,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY
CPXCLASS,Abrasive Materials
CPXCLASS,Accidents and Accident Prevention
CPXCLASS,Acoustic Devices
CPXCLASS,Acoustic Generators
CPXCLASS,Acoustic Noise
CPXCLASS,Acoustic Properties of Materials
CPXCLASS,Acoustic Waves
CPXCLASS,Acoustical Instruments
CPXCLASS,Acoustical and Optical Measuring Instruments
CPXCLASS,"Acoustics, Noise and Sound"
GEOCLASS,Adaptation
EMCLASS,Adverse Reactions Titles
CPXCLASS,"Aerodynamics, General"
GEOCLASS,Aerosols
CPXCLASS,Agricultural Chemicals
CPXCLASS,Agricultural Equipment and Methods
CPXCLASS,Agricultural Machinery and Equipment
CPXCLASS,Agricultural Methods
CPXCLASS,Agricultural Products
CPXCLASS,Agricultural Wastes
GEOCLASS,Agricultural research and extension
GEOCLASS,Agriculture
GEOCLASS,"Agriculture, resource development and the environment"
CPXCLASS,Air Conditioning
CPXCLASS,Air Navigation and Traffic Control
CPXCLASS,Air Pollution
CPXCLASS,Air Pollution Control
CPXCLASS,Air Pollution Sources
CPXCLASS,Air Transportation
CPXCLASS,"Air Transportation, General"
GEOCLASS,"Air masses, Atmospheric motion"
GEOCLASS,Air-sea interaction
CPXCLASS,Aircraft Instruments and Equipment
CPXCLASS,"Aircraft, General"
CPXCLASS,Airports
CPXCLASS,Algebra
CPXCLASS,Alkali Metals
CPXCLASS,Alkaline Earth Metals
CPXCLASS,Aluminum
CPXCLASS,Aluminum Alloys
CPXCLASS,Amorphous Solids
CPXCLASS,Amplifiers
EMCLASS,"Anatomy, Anthropology, Embryology and Histology"
EMCLASS,Anesthesiology
GEOCLASS,Animal ecology
CPXCLASS,Antimony and Alloys
GEOCLASS,Applications
CPXCLASS,Applied Mathematics
CPXCLASS,Applied Physics Generally
GEOCLASS,Applied sedimentology
GEOCLASS,Applied seismology
GEOCLASS,Arable
CPXCLASS,Architectural Acoustics
EMCLASS,Arthritis and Rheumatism
CPXCLASS,Artificial Intelligence
CPXCLASS,Asphalt
CPXCLASS,Atmospheric Properties
GEOCLASS,Atmospheric chemistry
GEOCLASS,Atmospheric pollution
CPXCLASS,Atomic and Molecular Physics
CPXCLASS,Automatic Control Principles and Applications
CPXCLASS,Automobile and Smaller Vehicle Components
CPXCLASS,Automobiles
CPXCLASS,Automobiles and Smaller Vehicles
ENCOMPASSCLASS,Automotive
CPXCLASS,"Automotive Engineering, General"
