classification_description,Count
MEDI,5639
FLUIDEX,4290
ENGI,2994
Drug Literature Index,2752
BIOC,2436
Clinical and Experimental Biochemistry,2316
CHEM,2161
PHYS,2072
MATE,1988
AGRI,1901
COMP,1827
"Microbiology: Bacteriology, Mycology, Parasitology and Virology",1752
ENVI,1712
CENG,1555
SOCI,1515
Organic Compounds,1287
Chemical Products Generally,1279
IMMU,1158
MULT,1088
1000,1088
ENER,1063
PHAR,1056
Chemical Reactions,1038
"Public Health, Social Medicine and Epidemiology",996
2500,907
1600,905
Chemical Operations,877
Inorganic Compounds,863
Materials Science,817
"Immunology, Serology and Transplantation",815
Chemical Agents and Basic Industrial Chemicals,787
Cancer,761
1500,755
2725,753
MATH,741
1706,725
EART,713
2208,705
1705,699
Neurology and Neurosurgery,683
2700,680
Gastroenterology,674
2739,664
2105,652
2200,635
MIXING AND SEPARATION,605
Nanotechnology,603
BUSI,602
1605,599
1303,597
VETE,591
2102,566
"Biophysics, Bioengineering and Medical Instrumentation",564
2505,562
IMMUNOLOGY AND INFECTIOUS DISEASES,551
3104,549
Chemistry,508
3400,507
NEUR,505
1312,504
ARTS,502
Clinical and Experimental Pharmacology,497
Geobase,487
1606,483
1602,481
1702,475
3004,469
2211,459
"Chest Diseases, Thoracic Surgery and Tuberculosis",458
3003,453
Physical Chemistry,451
2507,447
DENT,447
General,446
2210,438
Radiology,434
1105,425
3106,425
2403,418
ECON,415
Biology,412
Urology and Nephrology,410
3100,405
"Physical Properties of Gases, Liquids and Solids",404
Petroleum Refining and Petrochemicals,403
Organic Polymers,399
1106,398
1300,392
3002,385
Atomic and Molecular Physics,383
Petroleum Substitutes,380
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,377
Human Genetics,375
2300,375
Adverse Reactions Titles,375
Cardiovascular Diseases and Cardiovascular Surgery,374
2310,372
2305,369
Pediatrics and Pediatric Surgery,367
1103,362
GENETICS AND MOLECULAR BIOLOGY,362
"Computer Software, Data Handling and Applications",361
3304,361
General Pathology and Pathological Anatomy,359
2304,355
DECI,353
3105,350
1313,348
2746,345
Solid State Physics,340
CANCER RESEARCH,338
1712,338
Psychiatry,335
1305,335
2103,329
1710,322
NURS,321
1503,321
Thermodynamics,319
1110,317
1707,317
2404,314
2728,314
Hematology,308
2723,306
2736,306
2504,306
2311,305
2205,304
FLUID MECHANICS,304
PLANT SCIENCE,301
Otorhinolaryngology,298
3500,296
ECOLOGICAL AND ENVIRONMENTAL SCIENCES,295
Environmental Health and Pollution Control,282
2308,281
Computer Applications,280
3305,279
2215,278
1708,277
Orthopedic Surgery,277
2730,276
HEAL,276
2209,276
Mathematical Statistics,271
NEUROSCIENCE,270
2726,264
2715,255
1104,255
1311,254
Dermatology and Venereology,252
2719,249
3300,248
2201,244
1802,243
2741,242
1508,242
1607,239
Obstetrics and Gynecology,234
1700,229
1100,229
PSYC,226
2508,226
Biochemistry,226
Catalysts/Zeolites,225
2606,221
Light/Optics,220
Biological Materials and Tissue Engineering,220
1502,218
2307,212
1709,212
1408,211
1306,208
Medicine and Pharmacology,205
Probability Theory,204
Internal Medicine,203
2002,201
Gas Fuels,201
2735,198
2808,197
2738,196
2204,196
Endocrinology,195
2213,194
Data Processing and Image Processing,190
Industrial Economics,187
2400,186
1909,186
2732,184
Ophthalmology,183
3101,182
Minerals,182
2720,181
Systems Science,180
1604,180
2100,179
2733,178
Numerical Methods,177
Production Engineering,176
2727,176
Optical Devices and Systems,175
2701,173
1307,172
2705,171
1711,168
2303,168
Surgery,166
2207,165
Artificial Intelligence,163
Management,162
2502,161
Food Products,159
Accidents and Accident Prevention,159
2708,157
3107,156
2506,154
Pharmacy,154
Liquid Fuels,151
2301,151
WATER ENGINEERING,150
Electrochemistry,149
Electricity: Basic Concepts and Phenomena,148
2406,147
2600,147
1900,146
"Fluid Flow, General",145
2000,144
Atmospheric Properties,144
"Health Policy, Economics and Management",141
1701,141
2707,141
1601,141
PROCESS EQUIPMENT,140
Light and Optics,138
1102,137
Optimization Techniques,136
Crystalline Solids and Crystallography,134
3310,134
2312,133
1203,132
2402,132
2800,132
2712,131
2731,130
2916,130
1501,129
3306,128
1403,127
1314,127
CELL AND DEVELOPMENTAL BIOLOGY,127
Biomedical Engineering,127
3312,126
2721,126
Soils and Soil Mechanics,125
Mathematics,124
Chemical Plants and Equipment,124
1101,123
2405,123
Information Theory and Signal Processing,123
2729,121
1400,120
Mechanics,119
2503,118
2604,117
2713,114
1308,113
Social Sciences,113
2611,112
Polymeric Materials,111
1304,110
Optical Variables Measurements,110
Semiconducting Materials,110
2804,109
Coating Materials,108
Cost and Value Engineering,108
Precious Metals,108
Agricultural Products,108
Biotechnology,108
Health Care,108
Metallurgy,107
Metallurgy and Metallography,106
PETROLEUM ENGINEERING,106
Applied Mathematics,105
3005,105
3322,105
WASTEWATER AND OTHER EFFLUENT/LIQUID WASTE ENGIN.,105
"Combinatorial Mathematics, Includes Graph Theory, Set Theory",104
Information Sources and Analysis,104
2003,103
2734,103
"Others, including Bismuth, Boron, Cadmium, Cobalt, Mercury, Niobium, Selenium, Silicon, Tellurium and Zirconium",103
1109,103
3301,102
3504,102
1907,100
3000,100
Natural Rubber,100
Quantum Theory,98
3612,97
3110,97
2737,97
Control Systems,96
Anesthesiology,96
Semiconductor Devices and Integrated Circuits,95
1200,94
Information and Communication Theory,94
Ergonomics and Human Factors Engineering,94
Industrial Wastes,94
1603,94
Immunology,93
2900,92
Data Processing,91
3303,91
Glass,89
Cellulose and Derivatives,89
Industrial Wastes Treatment and Disposal,88
Structural Members and Shapes,88
2706,88
Biological Materials,87
Computer Programming,87
Concrete,86
"Chemistry, General",85
"Electricity, Basic Concepts and Phenomena",83
1315,83
1111,83
2740,83
1404,82
Energy Utilization,82
3103,81
Energy Conservation,81
Colloid Chemistry,81
2718,81
Environmental Impact and Protection,80
High Energy Physics,80
Gerontology and Geriatrics,79
1912,79
Electric Batteries and Fuel Cells,79
Electric Power Systems,78
Fuel Cells,78
Toxicology,78
Polymer Products,78
1803,76
2717,75
Quality Assurance and Control,75
Crystal Lattice,74
1201,74
1202,74
1310,74
1405,74
2309,73
2716,72
Secondary Batteries,72
1911,72
