type,classification_description,Count
SUBJABBR,MEDI,5639
FLXCLASS,FLUIDEX,4290
SUBJABBR,ENGI,2994
EMCLASS,Drug Literature Index,2752
SUBJABBR,BIOC,2436
EMCLASS,Clinical and Experimental Biochemistry,2316
SUBJABBR,CHEM,2161
SUBJABBR,PHYS,2072
SUBJABBR,MATE,1988
SUBJABBR,AGRI,1901
SUBJABBR,COMP,1827
EMCLASS,"Microbiology: Bacteriology, Mycology, Parasitology and Virology",1752
SUBJABBR,ENVI,1712
SUBJABBR,CENG,1555
SUBJABBR,SOCI,1515
CPXCLASS,Organic Compounds,1287
CPXCLASS,Chemical Products Generally,1279
SUBJABBR,IMMU,1158
ASJC,1000,1088
SUBJABBR,MULT,1088
SUBJABBR,ENER,1063
SUBJABBR,PHAR,1056
CPXCLASS,Chemical Reactions,1038
EMCLASS,"Public Health, Social Medicine and Epidemiology",996
ASJC,2500,907
ASJC,1600,905
CPXCLASS,Chemical Operations,877
CPXCLASS,Inorganic Compounds,863
CPXCLASS,Materials Science,817
EMCLASS,"Immunology, Serology and Transplantation",815
CPXCLASS,Chemical Agents and Basic Industrial Chemicals,787
EMCLASS,Cancer,761
ASJC,1500,755
ASJC,2725,753
SUBJABBR,MATH,741
ASJC,1706,725
SUBJABBR,EART,713
ASJC,2208,705
ASJC,1705,699
EMCLASS,Neurology and Neurosurgery,683
ASJC,2700,680
EMCLASS,Gastroenterology,674
ASJC,2739,664
ASJC,2105,652
ASJC,2200,635
FLXCLASS,MIXING AND SEPARATION,605
CPXCLASS,Nanotechnology,603
SUBJABBR,BUSI,602
ASJC,1605,599
ASJC,1303,597
SUBJABBR,VETE,591
ASJC,2102,566
EMCLASS,"Biophysics, Bioengineering and Medical Instrumentation",564
ASJC,2505,562
CABSCLASS,IMMUNOLOGY AND INFECTIOUS DISEASES,551
ASJC,3104,549
ASJC,3400,507
CPXCLASS,Chemistry,505
SUBJABBR,NEUR,505
ASJC,1312,504
SUBJABBR,ARTS,502
EMCLASS,Clinical and Experimental Pharmacology,497
GEOCLASS,Geobase,487
ASJC,1606,483
ASJC,1602,481
ASJC,1702,475
ASJC,3004,469
ASJC,2211,459
EMCLASS,"Chest Diseases, Thoracic Surgery and Tuberculosis",458
ASJC,3003,453
CPXCLASS,Physical Chemistry,451
ASJC,2507,447
SUBJABBR,DENT,447
CABSCLASS,General,445
ASJC,2210,438
EMCLASS,Radiology,434
ASJC,1105,425
ASJC,3106,425
ASJC,2403,418
SUBJABBR,ECON,415
CPXCLASS,Biology,412
EMCLASS,Urology and Nephrology,410
ASJC,3100,405
CPXCLASS,"Physical Properties of Gases, Liquids and Solids",404
ENCOMPASSCLASS,Petroleum Refining and Petrochemicals,403
CPXCLASS,Organic Polymers,399
ASJC,1106,398
ASJC,1300,392
ASJC,3002,385
CPXCLASS,Atomic and Molecular Physics,383
ENCOMPASSCLASS,Petroleum Substitutes,380
CABSCLASS,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,377
EMCLASS,Adverse Reactions Titles,375
ASJC,2300,375
EMCLASS,Human Genetics,375
EMCLASS,Cardiovascular Diseases and Cardiovascular Surgery,374
ASJC,2310,372
ASJC,2305,369
EMCLASS,Pediatrics and Pediatric Surgery,367
CABSCLASS,GENETICS AND MOLECULAR BIOLOGY,362
ASJC,1103,362
CPXCLASS,"Computer Software, Data Handling and Applications",361
ASJC,3304,361
EMCLASS,General Pathology and Pathological Anatomy,359
ASJC,2304,355
SUBJABBR,DECI,353
ASJC,3105,350
ASJC,1313,348
ASJC,2746,345
CPXCLASS,Solid State Physics,340
ASJC,1712,338
CABSCLASS,CANCER RESEARCH,338
EMCLASS,Psychiatry,335
ASJC,1305,335
ASJC,2103,329
ASJC,1710,322
ASJC,1503,321
SUBJABBR,NURS,321
CPXCLASS,Thermodynamics,319
ASJC,1707,317
ASJC,1110,317
ASJC,2404,314
ASJC,2728,314
EMCLASS,Hematology,308
ASJC,2723,306
ASJC,2736,306
ASJC,2504,306
ASJC,2311,305
ASJC,2205,304
FLXCLASS,FLUID MECHANICS,303
CABSCLASS,PLANT SCIENCE,301
EMCLASS,Otorhinolaryngology,298
ASJC,3500,296
CABSCLASS,ECOLOGICAL AND ENVIRONMENTAL SCIENCES,295
EMCLASS,Environmental Health and Pollution Control,282
ASJC,2308,281
CPXCLASS,Computer Applications,280
ASJC,3305,279
ASJC,2215,278
ASJC,1708,277
EMCLASS,Orthopedic Surgery,277
SUBJABBR,HEAL,276
ASJC,2730,276
ASJC,2209,276
CPXCLASS,Mathematical Statistics,271
CABSCLASS,NEUROSCIENCE,270
ASJC,2726,264
ASJC,2715,255
ASJC,1104,255
ASJC,1311,254
EMCLASS,Dermatology and Venereology,252
ASJC,2719,249
ASJC,3300,248
ASJC,2201,244
ASJC,1802,243
ASJC,2741,242
ASJC,1508,242
ASJC,1607,239
EMCLASS,Obstetrics and Gynecology,234
ASJC,1700,229
ASJC,1100,229
ASJC,2508,226
CPXCLASS,Biochemistry,226
SUBJABBR,PSYC,226
ENCOMPASSCLASS,Catalysts/Zeolites,225
ASJC,2606,221
CPXCLASS,Biological Materials and Tissue Engineering,220
CPXCLASS,Light/Optics,220
ASJC,1502,218
ASJC,2307,212
ASJC,1709,212
ASJC,1408,211
ASJC,1306,208
CPXCLASS,Medicine and Pharmacology,205
CPXCLASS,Probability Theory,204
EMCLASS,Internal Medicine,203
CPXCLASS,Gas Fuels,201
ASJC,2002,201
ASJC,2735,198
ASJC,2808,197
ASJC,2204,196
ASJC,2738,196
EMCLASS,Endocrinology,195
ASJC,2213,194
CPXCLASS,Data Processing and Image Processing,190
CPXCLASS,Industrial Economics,187
ASJC,2400,186
ASJC,1909,186
ASJC,2732,184
EMCLASS,Ophthalmology,183
CPXCLASS,Minerals,182
ASJC,3101,182
ASJC,2720,181
ASJC,1604,180
CPXCLASS,Systems Science,180
ASJC,2100,179
ASJC,2733,178
CPXCLASS,Numerical Methods,177
CPXCLASS,Production Engineering,176
ASJC,2727,176
CPXCLASS,Optical Devices and Systems,175
ASJC,2701,173
