file,href
Public health and international epidemiology for radiology,https://api.elsevier.com/content/abstract/scopus_id/85077976956
Flexible Printed Active Antenna for Digital Television Reception,https://api.elsevier.com/content/abstract/scopus_id/85060936020
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,https://api.elsevier.com/content/abstract/scopus_id/85052201238
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,https://api.elsevier.com/content/abstract/scopus_id/85051498032
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,https://api.elsevier.com/content/abstract/scopus_id/85050678366
Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,https://api.elsevier.com/content/abstract/scopus_id/85059846549
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,https://api.elsevier.com/content/abstract/scopus_id/85053455291
External beam radiotherapy in the treatment of painful bone metastases,https://api.elsevier.com/content/abstract/scopus_id/85078621193
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,https://api.elsevier.com/content/abstract/scopus_id/85061529820
PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides,https://api.elsevier.com/content/abstract/scopus_id/85058878790
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,https://api.elsevier.com/content/abstract/scopus_id/85053749794
Applying Text Mining for Classifying Disease from Symptoms,https://api.elsevier.com/content/abstract/scopus_id/85060970184
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,https://api.elsevier.com/content/abstract/scopus_id/85061895439
Detecting Radio AGN Signatures in Red Geysers,https://api.elsevier.com/content/abstract/scopus_id/85059849496
Organic agriculture education in Thai Universities: National trends and student perceptions,https://api.elsevier.com/content/abstract/scopus_id/85059562771
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",https://api.elsevier.com/content/abstract/scopus_id/85059516216
Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,https://api.elsevier.com/content/abstract/scopus_id/85059160526
Heterostructured d-Ti 3 C 2 /TiO 2/ g-C 3 N 4 Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity,https://api.elsevier.com/content/abstract/scopus_id/85058392278
Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil,https://api.elsevier.com/content/abstract/scopus_id/85054885984
"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries",https://api.elsevier.com/content/abstract/scopus_id/85063732788
Different natures of sub-gap states in 135-CIGS/112-CIGS and 112-CIGS/135-CIGS heterostructures investigated by photoluminescence technique,https://api.elsevier.com/content/abstract/scopus_id/85059484399
Optical properties of CsI:Tl crystals grown using different precursors purities,https://api.elsevier.com/content/abstract/scopus_id/85059480239
CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems,https://api.elsevier.com/content/abstract/scopus_id/85059476683
Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity,https://api.elsevier.com/content/abstract/scopus_id/85059474991
Effects of global and local rewiring on SIS epidemic adaptive networks,https://api.elsevier.com/content/abstract/scopus_id/85059473929
Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution,https://api.elsevier.com/content/abstract/scopus_id/85059465253
Shielding the Earth Magnetic Field using Spherical Coils,https://api.elsevier.com/content/abstract/scopus_id/85059463569
EMF Shielding of One Set of Circular Coils with Slight Distortion,https://api.elsevier.com/content/abstract/scopus_id/85059461222
Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS),https://api.elsevier.com/content/abstract/scopus_id/85059452131
Cosmic-Ray Muons Detection by a Spark Chamber,https://api.elsevier.com/content/abstract/scopus_id/85059450763
3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer,https://api.elsevier.com/content/abstract/scopus_id/85059450621
Mass-radius bounds in massive gravity models,https://api.elsevier.com/content/abstract/scopus_id/85059443311
Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity,https://api.elsevier.com/content/abstract/scopus_id/85058918074
Graceful exit for the cosmological constant damping scenario,https://api.elsevier.com/content/abstract/scopus_id/85059409668
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,https://api.elsevier.com/content/abstract/scopus_id/85055723883
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,https://api.elsevier.com/content/abstract/scopus_id/85054676706
"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))",https://api.elsevier.com/content/abstract/scopus_id/85053840080
Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici,https://api.elsevier.com/content/abstract/scopus_id/85051292687
Finding impact factors for rejection of pull requests on GitHub,https://api.elsevier.com/content/abstract/scopus_id/85063505074
Performance analysis of machine learning techniques in intrusion detection,https://api.elsevier.com/content/abstract/scopus_id/85063429603
Observation of Medium-Induced Modifications of Jet Fragmentation in Pb-Pb Collisions at sNN =5.02 TeV Using Isolated Photon-Tagged Jets,https://api.elsevier.com/content/abstract/scopus_id/85059112614
The ideal commensurate value of Sc and the superconducting phase under high pressure,https://api.elsevier.com/content/abstract/scopus_id/85058475370
A mini review on antidiabetic properties of fermented foods,https://api.elsevier.com/content/abstract/scopus_id/85058983048
Search for Leptoquarks Coupled to Third-Generation Quarks in Proton-Proton Collisions at s =13 TeV,https://api.elsevier.com/content/abstract/scopus_id/85059290811
WS2 and C-TiO2 Nanorods Acting as Effective Charge Separators on g-C3N4 to Boost Visible-Light Activated Hydrogen Production from Seawater,https://api.elsevier.com/content/abstract/scopus_id/85055499333
Physics-based motion capture imitation with deep reinforcement learning,https://api.elsevier.com/content/abstract/scopus_id/85061839078
Design of output feedback nonlinear model predictive control for inverted pendulum on cART,https://api.elsevier.com/content/abstract/scopus_id/85060496074
Explicit Formula for Conditional Expectations of Product of Polynomial and Exponential Function of Affine Transform of Extended Cox-Ingersoll-Ross Process,https://api.elsevier.com/content/abstract/scopus_id/85058647216
Two Properties of Pseudo-Polynomials over a Galois Field,https://api.elsevier.com/content/abstract/scopus_id/85058622656
Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth,https://api.elsevier.com/content/abstract/scopus_id/85058320961
Deep learning using risk-reward function for stock market prediction,https://api.elsevier.com/content/abstract/scopus_id/85062801280
Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms,https://api.elsevier.com/content/abstract/scopus_id/85062797130
Creative industries policy in Thailand: A story of rise and demise,https://api.elsevier.com/content/abstract/scopus_id/85062255690
Effect of modified Khon dance performance on functional fitness in older Thai persons,https://api.elsevier.com/content/abstract/scopus_id/85066101363
Social return on investment for community-based alcohol consumption control program during Buddhist Lent,https://api.elsevier.com/content/abstract/scopus_id/85066099543
"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand",https://api.elsevier.com/content/abstract/scopus_id/85066083201
The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention,https://api.elsevier.com/content/abstract/scopus_id/85066078842
Complete genomic sequences of highly pathogenic H5N1 avian influenza viruses obtained directly from human autopsy specimens,https://api.elsevier.com/content/abstract/scopus_id/85059896348
Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification,https://api.elsevier.com/content/abstract/scopus_id/85058555067
"Deep multispectral painting reproduction via multi-layer, custom-ink printing",https://api.elsevier.com/content/abstract/scopus_id/85066105607
Carbonized briquettes as a tool for adding value to waste from rain tree (Samanea saman) and coffee ground/tea waste,https://api.elsevier.com/content/abstract/scopus_id/85060316344
Periodic-review policy for a 2-Echelon inventory problem with seasonal demand,https://api.elsevier.com/content/abstract/scopus_id/85060315563
Reference stress approach for fracture assessment of extrados circumferential through-wall crack between elbow and pipe under internal pressure,https://api.elsevier.com/content/abstract/scopus_id/85060304153
Atmospheric water estimation using GNSS precise point positioning method,https://api.elsevier.com/content/abstract/scopus_id/85060301990
Development of arbuscular mycorrhizal fungi-organic fertilizer pellets encapsulated with alginate film,https://api.elsevier.com/content/abstract/scopus_id/85060284558
Cross-sectoral analysis of water usage in Thailand using input–output model,https://api.elsevier.com/content/abstract/scopus_id/85060284222
Speculation of nano-gap sensor for DNA sequencing technology: A review on synthetic nanopores,https://api.elsevier.com/content/abstract/scopus_id/85060277158
Peat Endogenous Lignocellulolytic Bacteria for Humic Waste Decomposition,https://api.elsevier.com/content/abstract/scopus_id/85058329914
